EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.323,-8.787,-1.738,2.629,-5.728,-6.259,-4.427,-0.288,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4916.000,0.000
0.140,-7.950,-3.657,1.473,-4.334,-3.986,-2.428,0.075,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4917.000,0.000
0.798,-6.502,-3.931,1.714,-2.879,-1.759,-0.106,0.913,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4918.000,0.000
0.810,-6.040,-1.492,3.369,-3.118,-2.572,-0.759,1.097,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4919.000,0.000
0.564,-6.286,-0.139,3.971,-3.677,-3.819,-2.178,0.741,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4920.000,0.000
0.787,-5.823,-1.322,3.154,-2.852,-2.543,-1.156,0.855,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4921.000,0.000
1.275,-4.668,-1.938,3.039,-1.573,-0.537,0.888,1.511,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4922.000,0.000
1.441,-4.005,-0.313,4.245,-1.398,-0.565,0.995,1.851,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4923.000,0.000
1.350,-4.017,1.124,5.017,-1.781,-1.532,-0.094,1.662,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4924.000,0.000
1.436,-3.771,0.609,4.567,-1.362,-0.985,0.229,1.631,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4925.000,0.000
1.730,-2.953,-0.048,4.288,-0.385,0.558,1.771,2.072,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4926.000,0.000
1.950,-2.238,0.890,5.062,0.031,1.025,2.343,2.470,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4927.000,0.000
2.014,-2.014,2.167,5.838,-0.100,0.492,1.723,2.454,-0.049,0.938,-0.433,0.153,0.854,0.916,80.000,4928.000,0.000
